OID_,DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank
19,S01006525,"Cults, Bieldside and Milltimber East - 08",Aberdeen City,904,497,6143,5,9,18,89,3%,31,5748,4%,18,5409.5,45,57,38,44,13%,9%,66,5894,92%,6.3,14,2%,30%,6810,7.09,2.27,3.02,3.63,2.07,8.43,8.55,6.9,14.23,7%,2432,6,67,5803,26,4,3%,1%,6259.5
20,S01006526,Garthdee - 01,Aberdeen City,924,670,2538,2,4,8,37,12%,115,2796,8%,52,3450,90,119,68,123,17%,5%,126,2897,72%,4.58,105,3%,2%,1073,4.56,3.01,3.26,3.9,5.99,5.45,8.04,9.99,10.64,0%,1906,6,66,5840,160,5,18%,1%,1454
21,S01006527,Garthdee - 02,Aberdeen City,756,508,2030,2,3,6,30,16%,122,2045,12%,59,2228,120,161,258,111,19%,4%,124,2072,73%,4.96,138,5%,4%,1360,3.39,1.76,3.01,3.51,6.01,4.3,6.67,10.62,10.24,16%,2976,19,255,2692,77,0,11%,0%,3235
22,S01006528,Garthdee - 03,Aberdeen City,1154,829,3834,3,6,11,55,9%,109,3529,6%,51,4079,90,126,46,106,15%,7%,112,3285,83%,5.39,85,1%,4%,3178,3.05,1.9,2.51,2.8,6.7,3.9,7.07,9.18,9.68,2%,3717,20,176,3786,159,6,16%,1%,1723
23,S01006529,Garthdee - 04,Aberdeen City,932,680,3770,3,6,11,55,9%,85,3619,5%,35,4557,75,98,13,107,15%,10%,87,4117,83%,5.28,84,10%,5%,2612,1.86,3.56,1.72,2.08,6.12,2.42,11.52,7.41,9.1,20%,3842,38,413,1432,157,38,18%,4%,945
24,S01006530,Garthdee - 05,Aberdeen City,785,548,2218,2,4,7,32,15%,116,2282,11%,61,2360,100,117,115,163,20%,0%,106,2679,71%,4.62,129,7%,5%,1021,2.37,2.41,1.27,1.44,7.12,3.2,9.39,3.88,9.76,0%,5745,21,271,2494,110,19,15%,3%,1626.5
25,S01006531,Garthdee - 06,Aberdeen City,946,655,1611,2,3,5,24,18%,166,1802,11%,72,2419,120,187,165,109,18%,13%,140,1933,61%,4.57,151,8%,4%,320,2.84,2.1,1.46,2.1,6.93,3.67,8.02,4.77,9.94,0%,5143,28,300,2237,190,6,20%,1%,1122
26,S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",Aberdeen City,793,445,5977,5,9,18,86,4%,32,5440,4%,17,5265,50,20,0,84,16%,0%,69,5684,0%,5.5,25,2%,16%,6177,2.43,3.1,1.98,2.09,5.4,2.98,11.93,7.59,9.8,0%,3920,16,204,3342,21,8,3%,1%,6110
27,S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",Aberdeen City,717,475,6786,5,10,20,98,2%,11,6688,2%,10,6361,25,25,0,45,12%,5%,58,6790,90%,6.29,14,0%,24%,6781,3.21,2.55,2.62,2.69,4.74,3.77,10.45,10.39,10.31,1%,3089,11,155,4095,3,1,0%,0%,6946
28,S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",Aberdeen City,956,625,6831,5,10,20,98,2%,19,6483,2%,11,6616,20,38,14,93,11%,10%,60,6760,94%,5.69,21,0%,17%,6588,3.07,3.11,2.41,1.56,4.32,3.61,10.43,7.65,8.3,0%,4158,19,201,3383,22,14,2%,2%,6168
29,S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",Aberdeen City,1046,812,6734,5,10,20,97,3%,27,6182,3%,21,6081,25,36,50,56,11%,7%,69,6633,87%,5.89,22,0%,12%,6174,3.12,2.3,1.38,2.07,5.04,3.56,8.56,4.47,6.45,0%,5586,15,145,4257,109,23,11%,2%,2839
30,S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",Aberdeen City,1003,827,5634,5,9,17,81,4%,43,5325,4%,30,5383,40,81,28,69,13%,3%,67,5967,85%,5.67,31,3%,7%,4874,3.9,1.99,1.44,2.51,4.42,2.99,6.68,4.38,5.42,0%,5925,36,363,1729,164,38,16%,4%,1197
31,S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",Aberdeen City,920,497,6664,5,10,20,96,2%,14,6697,1%,7,6758,35,119,265,111,18%,3%,74,5227,0%,6.24,26,2%,19%,6845,3.88,3.1,2.46,3.65,2.77,6.33,11.44,8.66,16.12,6%,2127,0,0,6866,22,3,3%,0%,6398
32,S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",Aberdeen City,548,335,6457,5,10,19,93,1%,8,6724,2%,7,6391,30,51,0,52,13%,0%,75,6474,0%,5.91,26,3%,27%,6537,4.71,3.47,3.24,4.69,4.08,6.1,14.2,11.09,15.8,0%,1286,0,0,6731,14,4,2%,1%,6461.5
33,S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",Aberdeen City,781,462,6727,5,10,20,97,2%,19,6250.5,3%,12,6109,35,0,0,100,15%,5%,71,6374,0%,6.38,26,1%,19%,6757,3.01,2.96,2.27,2.33,5.23,3.57,12.2,8.64,11.25,0%,3394,5,65,5867,19,6,3%,1%,6328
34,S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",Aberdeen City,933,633,6478,5,10,19,93,2%,18,6516,3%,19,5795,35,23,0,65,13%,3%,54,6597,93%,5.81,25,0%,21%,6561,3.67,2.8,2.43,3.27,4.99,4.6,12.49,10.09,13.16,0%,2417,8,87,5378,57,14,6%,1%,4761
35,S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",Aberdeen City,864,468,6548,5,10,19,94,3%,29,5792,3%,14,5861,55,14,0,78,15%,6%,72,5596,0%,6.14,27,0%,29%,6878,3.17,2.21,1.72,3.14,3.53,5.57,9.14,7.13,14.83,0%,3887,3,35,6463,20,1,2%,0%,6619
36,S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",Aberdeen City,1131,664,6751,5,10,20,97,1%,12,6862,2%,12,6611,30,23,15,58,11%,3%,61,6667,0%,5.3,31,0%,25%,6535,2.61,3.19,2.55,2.26,4.98,7.18,10.71,7.79,18.27,12%,2069,8,72,5703,27,11,3%,1%,6239
37,S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",Aberdeen City,792,453,6756,5,10,20,97,2%,13,6641,2%,9,6493,40,66,22,63,16%,7%,74,5682,94%,6.07,22,2%,20%,6676,3.27,3,2.33,2.78,3.73,6.83,10.31,7.55,17.59,0%,2700,0,0,6928,9,0,1%,0%,6900
38,S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",Aberdeen City,1283,862,6937,5,10,20,100,2%,21,6644,1%,7,6927,30,21,20,103,13%,4%,60,6511,0%,5.75,33,0%,24%,6534,1.99,1.91,2.21,3.06,3.43,4.46,6.1,10.05,12.72,6%,4316,3,24,6663,108,4,11%,0%,3379.5
39,S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",Aberdeen City,1120,731,6594,5,10,19,95,3%,28,6217.5,3%,20,5967,35,42,75,90,13%,14%,68,6012,89%,6.11,24,0%,12%,6408,3.06,1.33,1.72,3.48,3.94,4.8,5.7,6.8,11.16,10%,4572,19,172,3834,61,18,6%,2%,4757
40,S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",Aberdeen City,624,387,6951,5,10,20,100,2%,10,6663.5,3%,11,5953,35,22,48,86,12%,0%,67,6305,0%,6.67,21,0%,32%,6966,1.63,1.19,1,2.62,4.2,5.24,5.5,4.14,12.76,0%,6399,0,0,6928,5,6,1%,1%,6799
41,S01006547,Hazlehead - 01,Aberdeen City,1242,752,3784,3,6,11,55,8%,95,4021,7%,52,3752,65,139,124,81,14%,0%,82,4381,95%,6.13,50,2%,18%,6395,4.36,5.89,4.2,3.91,4.79,7.72,15.08,16.59,21.84,15%,661,39,318,2085,64,18,7%,2%,4090
42,S01006548,Hazlehead - 02,Aberdeen City,658,361,6455,5,10,19,93,2%,11,6623,2%,8,6264,25,5,0,64,13%,0%,74,6698,0%,6.08,21,2%,21%,6765,1.86,3.82,3.34,3.59,5.68,7.01,13.93,9.49,21.57,4%,1259,0,0,6928,14,8,2%,1%,6499
43,S01006549,Hazlehead - 03,Aberdeen City,796,503,6820,5,10,20,98,1%,7,6908,1%,6,6827,35,38,0,76,13%,6%,58,6466,0%,6.4,25,0%,28%,6819,1.91,3.19,3.13,2.82,3.81,4.78,9.74,11.98,14.85,26%,2363,8,102,5084,35,1,4%,0%,6004
44,S01006550,Hazlehead - 04,Aberdeen City,900,508,6760,5,10,20,97,1%,9,6875,2%,8,6706,30,19,0,105,17%,0%,68,6378,100%,6.27,22,0%,23%,6963,1.38,3.26,2.82,3.32,5.09,6.13,10.91,9.23,17.8,28%,2008,8,90,5324,23,2,3%,0%,6585
45,S01006551,Hazlehead - 05,Aberdeen City,704,431,1474,2,3,5,22,17%,120,1882,18%,76,999,115,307,63,84,21%,5%,135,2047,86%,5.5,108,5%,12%,3550,3.09,5,3.32,2.47,3.03,6.13,10.61,13.79,16.9,0%,1754,49,690,523,100,24,14%,3%,1502
46,S01006552,Hazlehead - 06,Aberdeen City,884,585,6084,5,9,18,88,3%,28,5879,3%,15,6124,25,62,15,36,12%,6%,66,6688,87%,5.71,39,0%,11%,5534,3.46,4.74,2.9,2.82,3.4,5.49,12.8,13.47,18.06,0%,1694,9,103,5052,17,5,2%,1%,6637
47,S01006553,Summerhill - 01,Aberdeen City,903,508,5280,4,8,16,76,5%,41,5211,5%,24,4719,75,20,20,105,18%,4%,93,4149,0%,5.88,62,1%,12%,5829,2.93,3.77,2.34,2.13,5.61,4.06,9.42,7.32,12.55,17%,2781,11,123,4687,59,5,7%,1%,4628
48,S01006554,Summerhill - 02,Aberdeen City,777,491,3924,3,6,12,57,9%,73,3537,7%,33,3857,65,26,35,109,17%,8%,86,4396,87%,5.29,81,0%,9%,4216,1.9,2.66,2.02,2.27,4.84,3.29,8.85,6.67,13.08,0%,4460,41,521,923,94,8,14%,1%,2235
49,S01006555,Summerhill - 03,Aberdeen City,732,537,1608,2,3,5,24,14%,101,2495,15%,81,1432,130,247,488,171,18%,3%,146,1362,78%,4.81,116,5%,9%,2039,4.47,4.27,1.67,2.77,4.55,4.69,10.97,7.1,14.4,0%,2597,54,733,463,148,11,19%,1%,1067
50,S01006556,Summerhill - 04,Aberdeen City,804,497,2292,2,4,7,33,16%,130,2037,13%,63,1937,115,75,166,117,22%,3%,121,2261,86%,5.32,108,7%,12%,3187,3.42,3.46,1.6,1.67,5.35,3.76,7.78,5.34,10.87,0%,4613,19,239,2882,135,8,16%,1%,1660
51,S01006557,Summerhill - 05,Aberdeen City,679,425,1446,2,3,5,21,17%,116,1871,16%,65,1328,150,207,145,114,24%,6%,155,1076,77%,5.08,124,6%,4%,1680,5.16,4.65,1.69,3.55,4.88,5.27,13.24,6,17.53,0%,1835,15,224,3052,98,3,14%,0%,2323
52,S01006558,Midstocket - 01,Aberdeen City,596,427,6797,5,10,20,98,3%,15,6207,3%,12,6023.5,35,25,0,68,14%,5%,58,6490,0%,0,26,0%,12%,6707,3.66,2,1.61,2.79,3.71,2.17,5.7,4.51,5.88,0%,6316,9,153,4134,58,23,9%,4%,2751
53,S01006559,Midstocket - 02,Aberdeen City,601,404,6972,5,10,20,100,1%,9,6709,1%,6,6749,25,6,0,70,11%,0%,55,6845,0%,6,11,0%,20%,6918,3.07,2.02,1.13,2.59,2.74,2.52,5.65,3.95,8.38,0%,6569,8,135,4464,38,1,6%,0%,5199
54,S01006560,Midstocket - 03,Aberdeen City,1018,641,6953,5,10,20,100,2%,20,6498.5,1%,8,6817,35,48,14,101,13%,5%,74,6048,93%,6.08,16,2%,21%,6720,2.23,1.64,1.03,1.97,3.08,3.11,5.6,3.97,9,3%,6116,8,80,5547,37,10,4%,1%,5876
55,S01006561,Midstocket - 04,Aberdeen City,728,443,6975,5,10,20,100,1%,7,6888,1%,5,6873,25,88,0,56,12%,14%,55,6714,94%,6.09,21,4%,19%,6629,2.14,0.95,1.2,1.79,3.69,3.35,3.7,3.98,9.25,0%,6844,12,167,3906,22,1,3%,0%,6509
56,S01006562,Midstocket - 05,Aberdeen City,972,612,4724,4,7,14,68,6%,60,4550,8%,46,3514,80,78,16,90,13%,3%,97,4127,84%,5.79,52,0%,27%,5671,1.66,2.22,2.45,2.32,4.08,4.23,8.78,9.52,14.64,12%,3680,14,146,4252,56,6,8%,1%,4177.5
57,S01006563,Midstocket - 06,Aberdeen City,677,395,5035,4,8,15,73,4%,25,5609.5,4%,17,4939,60,11,0,390,13%,0%,86,4954,88%,6,39,0%,29%,6349,2.87,1.56,1.5,2.58,3.97,3.28,6.06,6.61,9.45,1%,5453,95,1406,90,94,11,11%,1%,2829
58,S01006564,Rosemount - 01,Aberdeen City,1007,791,3336,3,5,10,48,10%,105,3294,9%,70,3088,90,71,65,101,17%,2%,90,3595,75%,5.31,91,5%,8%,2578,4.35,1.5,2.42,1.66,1.67,2.84,4.68,7.23,7.76,0%,6560,30,302,2221,212,37,22%,4%,608
59,S01006565,Rosemount - 02,Aberdeen City,1000,888,3653,3,6,11,53,9%,89,3675,7%,60,3803,75,93,61,107,12%,2%,73,4499,71%,0,69,9%,2%,2041,3.44,1.65,2.91,1.42,2.38,2.56,4.97,7.33,7.74,12%,5613,22,223,3067,277,51,33%,6%,140
60,S01006566,Rosemount - 03,Aberdeen City,761,618,5826,5,9,17,84,5%,39,4950,4%,24,5202,40,26,68,76,12%,3%,75,5938,88%,5.92,39,0%,8%,5650,3.88,1.25,3,2.04,2.18,1.82,4.26,7.33,5.42,0%,6722,20,266,2545,96,22,13%,3%,1947
61,S01006567,Rosemount - 04,Aberdeen City,744,607,2656,2,4,8,39,13%,94,2757,13%,76,2013,100,144,123,100,17%,4%,102,3028,77%,0,69,4%,2%,3539,4.12,1.2,3.02,1.85,1.54,2.55,2.91,6.03,5.86,6%,6205,27,367,1695,223,48,27%,6%,275
62,S01006568,Rosemount - 05,Aberdeen City,921,823,5931,5,9,18,86,3%,28,5946,3%,26,5682,40,57,29,79,11%,6%,60,6234,76%,5.43,26,5%,7%,4018,4.19,1.5,2.1,2.75,1.32,1.9,3.94,4.58,4.88,0%,6846,24,264,2570,185,45,20%,5%,649
63,S01006569,Rosemount - 06,Aberdeen City,561,444,5320,4,8,16,77,6%,33,4657,6%,28,4000,70,92,20,79,12%,4%,76,4850,0%,6,17,0%,6%,6566,3.82,1.99,1.74,3.18,2.33,1.49,4.66,4.07,4.8,0%,6720,9,162,3977,93,17,16%,3%,1285
64,S01006570,Rosemount - 07,Aberdeen City,739,537,6963,5,10,20,100,1%,11,6712,2%,9,6683,20,0,0,66,10%,6%,62,6906,0%,6.31,33,0%,15%,6727,3.62,2.08,1.56,2.98,2.05,2.33,5.41,4.68,7.82,0%,6493,9,123,4688,57,11,7%,1%,4238
65,S01006571,West End North - 01,Aberdeen City,911,635,6414,5,10,19,92,3%,26,6029,2%,15,6230,25,66,0,54,9%,3%,73,6727,93%,6.33,20,3%,21%,6699,4.27,1.44,2.13,2.27,2.09,2.56,4.21,6.48,7.47,0%,6283,54,589,715,56,29,6%,3%,3853
66,S01006572,West End North - 02,Aberdeen City,957,622,6930,5,10,20,100,1%,6,6953,1%,6,6902,15,56,0,47,10%,0%,58,6924,0%,6.56,15,0%,41%,6972,1.89,2.3,2.57,2.74,3.07,4.1,10.08,11.02,14.71,5%,3422,15,159,4036,27,6,3%,1%,6285
67,S01006573,West End North - 03,Aberdeen City,790,535,6974,5,10,20,100,2%,12,6702,1%,5,6895,15,120,19,31,8%,0%,70,6893,92%,6.17,17,0%,28%,6804,3.09,2.05,1.93,2.66,2.55,3.3,7.04,8.42,11.13,0%,5395,5,64,5882,13,6,2%,1%,6618
68,S01006574,West End North - 04,Aberdeen City,1017,661,6865,5,10,20,99,2%,20,6496,1%,6,6928,20,44,14,97,9%,6%,54,6841,0%,6.45,14,0%,24%,6916,3.63,1.68,2.93,2.39,2.23,3.24,5.08,10.09,10.01,20%,4775,31,309,2159,32,9,3%,1%,6086
69,S01006575,West End South - 01,Aberdeen City,981,697,6960,5,10,20,100,1%,8,6922,1%,6,6933,15,44,12,44,8%,5%,55,6933,0%,6.52,28,0%,16%,6934,4.15,2.33,2.99,2.6,2.99,3.6,7.23,8.28,8.43,0%,4584,13,134,4482,37,9,4%,1%,5762
70,S01006576,West End South - 02,Aberdeen City,730,527,6515,5,10,19,94,2%,12,6639,3%,16,5841,30,53,0,72,10%,0%,67,6599,92%,6.17,13,0%,17%,6769,4.92,2.7,3.02,1.74,3.41,2.99,8.11,8.64,6.93,0%,4761,30,416,1411,45,8,6%,1%,4755
71,S01006577,West End South - 03,Aberdeen City,814,608,6717,5,10,20,97,2%,20,6239,3%,17,5906,35,58,13,60,12%,3%,77,6258,0%,5.8,16,0%,18%,6628,4.16,1.69,2.9,2.02,2.15,2.43,5.76,7.51,6.44,0%,6279,12,149,4208,101,24,13%,3%,1826
72,S01006578,West End South - 04,Aberdeen City,1105,950,5471,4,8,16,79,5%,51,5174,4%,40,5030,50,150,105,77,11%,0%,76,5273,81%,6,51,2%,6%,4547,5.19,2.08,2.58,1.63,2.89,1.99,6.63,6.75,5.06,0%,6265,21,192,3517,220,49,21%,5%,566
73,S01006579,West End South - 05,Aberdeen City,1048,922,6411,5,10,19,92,3%,33,5893,3%,29,5714,30,80,32,84,8%,2%,59,6631,0%,6.6,29,4%,5%,5799,4.85,2.35,2.24,2.25,3.19,1.71,6.38,5.65,4.03,0%,6301,19,184,3656,171,33,18%,3%,1024
74,S01006580,West End South - 06,Aberdeen City,724,585,6296,5,10,19,91,4%,28,5526,3%,20,5502.5,35,94,0,83,10%,3%,87,6181,85%,6.56,28,2%,29%,6547,4.9,1.4,2.96,2,2.28,1.59,5.71,7.63,4.82,0%,6215,12,168,3888,107,35,15%,5%,1196
75,S01006581,West End South - 07,Aberdeen City,949,648,6967,5,10,20,100,1%,7,6939,2%,10,6721,25,37,15,48,9%,0%,61,6786,91%,6.54,16,0%,21%,6844,3.77,1.78,2.6,2.67,3.03,3.93,6.77,7.97,9.86,0%,4704,4,43,6323,24,15,3%,2%,6019
76,S01006582,City Centre West - 01,Aberdeen City,820,705,3921,3,6,12,57,4%,35,5328,4%,25,5465.5,35,170,152,59,9%,2%,73,6144,0%,0,53,24%,4%,1721,4.06,2.71,1.52,2.44,3.79,2.45,4.92,4.36,5.38,54%,4563,308,3754,12,146,45,18%,6%,722
77,S01006583,City Centre West - 02,Aberdeen City,695,616,5250,4,8,16,76,5%,33,5114,3%,16,6067,25,51,27,186,8%,4%,59,6666,72%,4.67,37,8%,1%,1880,4.21,2.53,1.7,2.22,3.89,1.5,6.08,4.91,4.03,8%,5730,16,233,2950,104,21,15%,3%,1568
78,S01006584,City Centre West - 03,Aberdeen City,612,534,6357,5,10,19,92,2%,13,6420,3%,15,6009,25,56,0,54,10%,11%,74,6670,0%,0,40,5%,4%,4634,5.3,0.89,1.68,1.57,1.81,3.1,2.81,5.1,7.12,1%,6572,14,232,2961,130,27,21%,4%,640
79,S01006585,City Centre West - 04,Aberdeen City,831,651,2375,2,4,7,35,12%,97,2989,11%,74,2304,110,256,185,124,15%,9%,128,2276,82%,5.13,119,0%,9%,3097,5.21,1.43,1.33,1.53,2.09,3.02,4.67,4.42,6.32,4%,6171,83,999,208,186,46,23%,6%,394
80,S01006586,City Centre West - 05,Aberdeen City,1049,854,3228,3,5,10,47,8%,85,3878,5%,46,4407,90,84,103,122,14%,0%,85,3686,75%,5.8,85,0%,2%,2926,4.13,1.84,2.28,2,2.4,2.57,4.13,5.39,5.57,41%,5174,374,3562,15,250,76,25%,7%,286
81,S01006587,City Centre East - 01,Aberdeen City,571,500,1562,2,3,5,23,14%,81,2398,13%,66,1866,110,366,86,223,16%,4%,139,1922,0%,0,81,7%,4%,1370,3.25,2.16,3.22,2.54,4.34,3.13,6.53,6.7,6.17,30%,4030,202,3529,16,140,55,26%,10%,184
82,S01006588,City Centre East - 02,Aberdeen City,626,571,3265,3,5,10,47,6%,38,4588,6%,32,4289,65,132,45,25,8%,13%,76,5423,64%,0,46,0%,2%,1656,3.56,2.49,1.58,3.24,3.21,1.3,5.29,3.32,2.67,12%,5881,272,4351,7,203,53,35%,9%,77
